Borough,Year,Population
NYC Total,1950,7891957
NYC Total,1960,7781984
NYC Total,1970,7894862
NYC Total,1980,7071639
NYC Total,1990,7322564
NYC Total,2000,8008278
NYC Total,2010,8242624
NYC Total,2020,8550971
NYC Total,2030,8821027
NYC Total,2040,9025145
Bronx,1950,1451277
Bronx,1960,1424815
Bronx,1970,1471701
Bronx,1980,1168972
Bronx,1990,1203789
Bronx,2000,1332650
Bronx,2010,1385108
Bronx,2020,1446788
Bronx,2030,1518998
Bronx,2040,1579245
Brooklyn,1950,2738175
Brooklyn,1960,2627319
Brooklyn,1970,2602012
Brooklyn,1980,2230936
Brooklyn,1990,2300664
Brooklyn,2000,2465326
Brooklyn,2010,2552911
Brooklyn,2020,2648452
Brooklyn,2030,2754009
Brooklyn,2040,2840525
Manhattan,1950,1960101
Manhattan,1960,1698281
Manhattan,1970,1539233
Manhattan,1980,1428285
Manhattan,1990,1487536
Manhattan,2000,1537195
Manhattan,2010,1585873
Manhattan,2020,1638281
Manhattan,2030,1676720
Manhattan,2040,1691617
Queens,1950,1550849
Queens,1960,1809578
Queens,1970,1986473
Queens,1980,1891325
Queens,1990,1951598
Queens,2000,2229379
Queens,2010,2250002
Queens,2020,2330295
Queens,2030,2373551
Queens,2040,2412649
Staten Island,1950,191555
Staten Island,1960,221991
Staten Island,1970,295443
Staten Island,1980,352121
Staten Island,1990,378977
Staten Island,2000,443728
Staten Island,2010,468730
Staten Island,2020,487155
Staten Island,2030,497749
Staten Island,2040,501109